Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Oct 26 13:43:54 2019
Invocation: foremost tea.apk 
Output directory: /home/kosuke/ctf/sckosen/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: tea.apk
Start: Sat Oct 26 13:43:54 2019
Length: 2 MB (2149236 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00000000.zip 	       2 MB 	          0 	 
1:	00003592.png 	      785 B 	    1839352 	  (64 x 64)
2:	00003594.png 	      236 B 	    1840240 	  (28 x 84)
3:	00003594_1.png 	       1 KB 	    1840564 	  (128 x 64)
4:	00003598.png 	      182 B 	    1842212 	  (24 x 6)
5:	00003598_1.png 	      138 B 	    1842492 	  (30 x 30)
6:	00003599.png 	      217 B 	    1842732 	  (13 x 41)
7:	00003599_1.png 	      825 B 	    1843044 	  (27 x 27)
8:	00003601.png 	      785 B 	    1843964 	  (128 x 128)
9:	00003603.png 	       1 KB 	    1844828 	  (144 x 144)
10:	00003605.png 	      522 B 	    1846196 	  (54 x 54)
11:	00003607.png 	      776 B 	    1846812 	  (64 x 32)
12:	00003608.png 	      253 B 	    1847676 	  (36 x 36)
13:	00003609.png 	      260 B 	    1848032 	  (72 x 72)
14:	00003610.png 	      406 B 	    1848376 	  (108 x 108)
15:	00003611.png 	      235 B 	    1848884 	  (28 x 84)
16:	00003611_1.png 	      593 B 	    1849204 	  (96 x 96)
17:	00003613.png 	      209 B 	    1849888 	  (12 x 12)
18:	00003613_1.png 	      629 B 	    1850184 	  (48 x 48)
19:	00003615.png 	       2 KB 	    1850908 	  (192 x 96)
20:	00003619.png 	      310 B 	    1853308 	  (20 x 24)
21:	00003620.png 	      251 B 	    1853708 	  (24 x 24)
22:	00003621.png 	      281 B 	    1854052 	  (64 x 64)
23:	00003621_1.png 	      228 B 	    1854432 	  (21 x 63)
24:	00003622.png 	      415 B 	    1854764 	  (48 x 48)
25:	00003623.png 	       1 KB 	    1855264 	  (96 x 96)
26:	00003626.png 	      171 B 	    1856568 	  (48 x 48)
27:	00003626_1.png 	      324 B 	    1856828 	  (32 x 32)
28:	00003627.png 	      421 B 	    1857244 	  (72 x 72)
29:	00003628.png 	      226 B 	    1857760 	  (36 x 36)
30:	00003629.png 	      467 B 	    1858072 	  (48 x 48)
31:	00003630.png 	      127 B 	    1858640 	  (24 x 24)
32:	00003630_1.png 	      400 B 	    1858864 	  (36 x 36)
33:	00003631.png 	      476 B 	    1859356 	  (128 x 128)
34:	00003632.png 	      272 B 	    1859924 	  (24 x 24)
35:	00003633.png 	       1 KB 	    1860296 	  (192 x 72)
36:	00003637.png 	      204 B 	    1862168 	  (36 x 36)
37:	00003637_1.png 	      884 B 	    1862460 	  (72 x 72)
38:	00003639.png 	      583 B 	    1863448 	  (40 x 48)
39:	00003640.png 	      186 B 	    1864128 	  (19 x 16)
40:	00003641.png 	      851 B 	    1864400 	  (71 x 48)
41:	00003643.png 	      221 B 	    1865344 	  (16 x 16)
42:	00003643_1.png 	      223 B 	    1865656 	  (8 x 8)
43:	00003644.png 	      404 B 	    1865960 	  (36 x 36)
44:	00003645.png 	      507 B 	    1866452 	  (36 x 36)
45:	00003646.png 	      389 B 	    1867048 	  (36 x 36)
46:	00003647.png 	      244 B 	    1867516 	  (12 x 12)
47:	00003648.png 	      178 B 	    1867856 	  (12 x 11)
48:	00003648_1.png 	      910 B 	    1868124 	  (96 x 96)
49:	00003650.png 	      207 B 	    1869124 	  (6 x 6)
50:	00003651.png 	      190 B 	    1869416 	  (18 x 18)
51:	00003651_1.png 	      335 B 	    1869700 	  (88 x 44)
52:	00003652.png 	      222 B 	    1870120 	  (6 x 6)
53:	00003653.png 	       2 KB 	    1870440 	  (108 x 108)
54:	00003658.png 	      631 B 	    1873052 	  (72 x 72)
55:	00003659.png 	      203 B 	    1873780 	  (10 x 12)
56:	00003660.png 	      983 B 	    1874068 	  (108 x 108)
57:	00003662.png 	      984 B 	    1875136 	  (96 x 96)
58:	00003664.png 	      459 B 	    1876208 	  (48 x 48)
59:	00003665.png 	      194 B 	    1876760 	  (24 x 24)
60:	00003666.png 	      187 B 	    1877044 	  (25 x 22)
61:	00003666_1.png 	      513 B 	    1877328 	  (176 x 88)
62:	00003667.png 	      208 B 	    1877932 	  (9 x 9)
63:	00003668.png 	      345 B 	    1878228 	  (27 x 36)
64:	00003669.png 	      760 B 	    1878664 	  (144 x 144)
65:	00003670.png 	      235 B 	    1879516 	  (32 x 32)
66:	00003671.png 	      345 B 	    1879840 	  (27 x 36)
67:	00003672.png 	      275 B 	    1880280 	  (128 x 128)
68:	00003673.png 	      197 B 	    1880656 	  (18 x 18)
69:	00003673_1.png 	      595 B 	    1880956 	  (54 x 54)
70:	00003675.png 	      243 B 	    1881644 	  (48 x 48)
71:	00003675_1.png 	      252 B 	    1881972 	  (16 x 16)
72:	00003676.png 	      593 B 	    1882300 	  (48 x 48)
73:	00003677.png 	      309 B 	    1882984 	  (48 x 48)
74:	00003678.png 	      227 B 	    1883376 	  (48 x 48)
75:	00003679.png 	      187 B 	    1883696 	  (44 x 22)
76:	00003679_1.png 	      215 B 	    1883968 	  (8 x 8)
77:	00003680.png 	      422 B 	    1884288 	  (132 x 66)
78:	00003681.png 	      461 B 	    1884808 	  (96 x 96)
79:	00003682.png 	      214 B 	    1885352 	  (32 x 32)
80:	00003682_1.png 	      541 B 	    1885664 	  (64 x 24)
81:	00003684.png 	      420 B 	    1886308 	  (132 x 66)
82:	00003685.png 	       2 KB 	    1886824 	  (81 x 81)
83:	00003690.png 	      448 B 	    1889376 	  (36 x 48)
84:	00003691.png 	       1 KB 	    1889912 	  (96 x 96)
85:	00003693.png 	      325 B 	    1891208 	  (96 x 96)
86:	00003694.png 	      208 B 	    1891628 	  (20 x 24)
87:	00003695.png 	       1 KB 	    1891932 	  (54 x 54)
88:	00003698.png 	      178 B 	    1893560 	  (18 x 5)
89:	00003698_1.png 	      484 B 	    1893828 	  (35 x 25)
90:	00003700.png 	      194 B 	    1894404 	  (10 x 12)
91:	00003700_1.png 	      899 B 	    1894684 	  (96 x 96)
